max_depth,n_learner,f1_score,elapsed_time,total_score
38,14,0.944754762,0.361788034,0.899519001
38,14,0.944754762,0.281340122,0.90112796
38,14,0.944754762,0.34494257,0.899855911
38,14,0.944754762,0.294572592,0.90086331
38,14,0.944754762,0.33086729,0.900137416
38,14,0.944754762,0.283905983,0.901076642
38,14,0.944754762,0.293581963,0.900883123
38,14,0.944754762,0.323535204,0.900284058
38,46,0.95321,0.916351795,0.896882964
25,14,0.878420154,0.294834614,0.847523462
38,76,0.953686462,1.576984167,0.884146779
38,14,0.944754762,0.302495956,0.900704843
38,96,0.953307937,1.912698746,0.877053962
38,24,0.950681725,0.52092886,0.902263148
38,14,0.944754762,0.340286016,0.899949042
38,14,0.944754762,0.343599558,0.899882771
38,14,0.944754762,0.30544591,0.900645844
38,14,0.944754762,0.285692453,0.901040913
38,76,0.953686462,1.526672125,0.88515302
38,14,0.944754762,0.283429146,0.901086179
38,24,0.950681725,0.528562069,0.902110483
38,14,0.944754762,0.314988852,0.900454985
38,24,0.950681725,0.503135204,0.902619021
38,76,0.953686462,1.52892375,0.885107987
38,76,0.953686462,1.585010529,0.883986252
38,24,0.950681725,0.532960653,0.902022512
38,24,0.950681725,0.536559582,0.901950533
38,76,0.953686462,1.584890842,0.883988645
38,14,0.944754762,0.317458391,0.900405594
38,76,0.953686462,1.581192493,0.884062612
38,14,0.944754762,0.317829132,0.900398179
38,14,0.944754762,0.370229721,0.899350168
38,14,0.944754762,0.3046875,0.900661012
38,14,0.944754762,0.292387724,0.900907007
38,14,0.944754762,0.331341028,0.900127941
38,14,0.944754762,0.306931257,0.900616137
38,14,0.944754762,0.307092667,0.900612909
38,14,0.944754762,0.332768679,0.900099388
38,14,0.944754762,0.283260345,0.901089555
59,14,0.955557461,0.285734892,0.890842763
38,111,0.955884029,2.283282042,0.872218388
38,49,0.954167568,1.03164506,0.895534667
101,14,0.954764257,0.322583675,0.847312584
38,14,0.944754762,0.325475216,0.900245258
38,14,0.944754762,0.28932333,0.900968295
38,14,0.944754762,0.358760595,0.89957955
38,14,0.944754762,0.281518936,0.901124383
38,14,0.944754762,0.28225708,0.90110962
38,14,0.944754762,0.291343212,0.900927898
71,14,0.953100653,0.35115695,0.875077514
38,14,0.944754762,0.288434029,0.900986081
38,46,0.95321,0.940670252,0.896396595
38,14,0.944754762,0.283501387,0.901084734
9,14,0.303962652,0.311078548,0.288741081
38,14,0.944754762,0.280450106,0.90114576
38,14,0.944754762,0.285096645,0.901052829
102,14,0.954764257,0.323025465,0.846303748
38,14,0.944754762,0.291131973,0.900932122
38,14,0.944754762,0.314461231,0.900465537
38,14,0.944754762,0.282975912,0.901095244
38,14,0.944754762,0.312231779,0.900510126
141,14,0.954764257,0.285150528,0.808061247
38,46,0.95321,0.915915966,0.89689168
38,14,0.944754762,0.32907176,0.900173327
74,101,0.958793364,2.176892042,0.841255523
38,14,0.944754762,0.327905655,0.900196649
38,19,0.945649431,0.439122677,0.898866977
38,14,0.944754762,0.340124846,0.899952265
38,14,0.944754762,0.325669527,0.900241371
38,14,0.944754762,0.322817087,0.90029842
38,14,0.944754762,0.324683905,0.900261084
38,14,0.944754762,0.313327074,0.90048822
38,14,0.944754762,0.306516409,0.900624434
38,14,0.944754762,0.314033747,0.900474087
109,14,0.954764257,0.331832409,0.839127609
38,14,0.944754762,0.291081905,0.900933124
38,14,0.944754762,0.331018686,0.900134388
38,24,0.950681725,0.504062653,0.902600472
38,14,0.944754762,0.283594131,0.901082879
38,24,0.950681725,0.514920712,0.902383311
38,5,0.904345913,0.123676062,0.863872392
38,14,0.944754762,0.327648878,0.900201784
38,100,0.954628113,2.086574316,0.874896626
38,14,0.944754762,0.311033249,0.900534097
38,24,0.950681725,0.492266655,0.902836392
38,14,0.944754762,0.351844311,0.899717876
51,14,0.953394069,0.287254333,0.896648983
38,14,0.944754762,0.32103467,0.900334069
38,14,0.944754762,0.338670254,0.899981357
38,14,0.944754762,0.285366297,0.901047436
38,14,0.944754762,0.286542892,0.901023904
38,14,0.944754762,0.29115057,0.900931751
38,44,0.953276934,0.913285732,0.897011219
37,24,0.948623289,0.546770096,0.900687887
38,24,0.950681725,0.536343813,0.901954849
38,14,0.944754762,0.286525488,0.901024252
38,14,0.944754762,0.342598915,0.899902784
38,24,0.950681725,0.512851477,0.902424695
51,14,0.953394069,0.292703629,0.896539997
38,14,0.944754762,0.374317646,0.899268409
38,24,0.950681725,0.518947601,0.902302773
38,24,0.950681725,0.509433985,0.902493045
38,14,0.944754762,0.291599274,0.900922776
38,24,0.950681725,0.538847923,0.901904766
41,24,0.951806791,0.495367527,0.900899441
38,14,0.944754762,0.28486371,0.901057488
38,14,0.944754762,0.316743374,0.900419894
38,14,0.944754762,0.351157904,0.899731604
38,14,0.944754762,0.281478643,0.901125189
38,24,0.950681725,0.501734734,0.90264703
38,14,0.944754762,0.283016682,0.901094428
59,20,0.955624123,0.441392422,0.887796274
38,24,0.950681725,0.540880203,0.901864121
38,14,0.944754762,0.333930254,0.900076157
38,24,0.950681725,0.470337868,0.903274967
38,24,0.950681725,0.506071091,0.902560303
38,14,0.944754762,0.286515474,0.901024452
38,14,0.944754762,0.29232502,0.900908262
38,84,0.955591662,1.773621082,0.88211924
38,14,0.944754762,0.341545343,0.899923855
38,14,0.944754762,0.298603773,0.900782686
38,14,0.944754762,0.282032013,0.901114122
38,14,0.944754762,0.324364424,0.900267473
38,14,0.944754762,0.352296114,0.89970884
38,14,0.944754762,0.286685944,0.901021043
38,14,0.944754762,0.306957006,0.900615622
38,14,0.944754762,0.303245306,0.900689856
38,14,0.944754762,0.34987998,0.899757162
38,14,0.944754762,0.286604643,0.901022669
38,14,0.944754762,0.283754826,0.901079665
38,14,0.944754762,0.321704149,0.900320679
38,24,0.950681725,0.526441097,0.902152903
38,14,0.944754762,0.30487442,0.900657274
38,14,0.944754762,0.282800674,0.901098748
37,14,0.940993854,0.283704996,0.898319754
38,14,0.944754762,0.285428524,0.901046191
38,14,0.944754762,0.335210562,0.900050551
38,24,0.950681725,0.520062208,0.902280481
40,14,0.94437501,0.329827785,0.897778454
38,14,0.944754762,0.291191578,0.90093093
68,14,0.954482874,0.284977674,0.88078332
38,14,0.944754762,0.298844337,0.900777875
38,14,0.944754762,0.296230316,0.900830156
38,14,0.944754762,0.297524214,0.900804278
38,14,0.944754762,0.324295521,0.900268852
38,14,0.944754762,0.357121229,0.899612337
38,14,0.944754762,0.305121422,0.900652334
38,14,0.944754762,0.338876963,0.899977223
141,14,0.954764257,0.354413271,0.806675992
38,14,0.944754762,0.304323673,0.900668288
38,94,0.953393286,1.875854969,0.877876187
38,14,0.944754762,0.362419128,0.899506379
38,14,0.944754762,0.287443638,0.901005889
38,30,0.951995692,0.619885445,0.901597983
38,14,0.944754762,0.287630796,0.901002146
38,14,0.944754762,0.284416676,0.901066428
38,14,0.944754762,0.302268744,0.900709387
38,14,0.944754762,0.301263094,0.9007295
38,14,0.944754762,0.33041048,0.900146552
38,14,0.944754762,0.306432486,0.900626112
38,14,0.944754762,0.282921076,0.90109634
38,14,0.944754762,0.285893917,0.901036884
38,24,0.950681725,0.474704027,0.903187644
38,14,0.944754762,0.299283743,0.900769087
38,14,0.944754762,0.343594551,0.899882871
38,24,0.950681725,0.530607939,0.902069566
38,4,0.893106366,0.112518549,0.852855995
38,14,0.944754762,0.313828707,0.900478188
38,14,0.944754762,0.31125474,0.900529667
38,24,0.950681725,0.54406023,0.90180052
38,14,0.944754762,0.286736965,0.901020023
38,24,0.950681725,0.52217555,0.902238214
38,24,0.950681725,0.518321037,0.902315304
38,14,0.944754762,0.306443214,0.900625898
38,14,0.944754762,0.285652637,0.901041709
38,17,0.946194744,0.340815783,0.901378428
38,14,0.944754762,0.289536715,0.900964028
38,24,0.950681725,0.509018183,0.902501361
38,14,0.944754762,0.34323597,0.899890043
38,14,0.944754762,0.283040524,0.901093951
38,24,0.950681725,0.545052767,0.90178067
38,14,0.944754762,0.347488165,0.899804999
38,14,0.944754762,0.317494631,0.900404869
38,14,0.944754762,0.321061134,0.900333539
38,14,0.944754762,0.316441536,0.900425931
38,24,0.950681725,0.559817076,0.901485383
38,14,0.944754762,0.303842306,0.900677916
69,24,0.955210629,0.58116436,0.874587342
38,24,0.950681725,0.53609705,0.901959784
38,14,0.944754762,0.293055534,0.900893651
38,24,0.950681725,0.485292912,0.902975867
116,24,0.956057509,0.538172007,0.829294069
38,14,0.944754762,0.306040525,0.900633951
38,14,0.944754762,0.347284555,0.899809071
38,24,0.950681725,0.519799948,0.902285726
38,14,0.944754762,0.345434427,0.899846073
38,14,0.944754762,0.329468966,0.900165383
38,20,0.947150036,0.411358833,0.90092286
38,14,0.944754762,0.289495707,0.900964848
38,14,0.944754762,0.293771744,0.900879327
38,24,0.950681725,0.531026602,0.902061193
38,24,0.950681725,0.547046423,0.901740796
38,20,0.947150036,0.466187954,0.899826277
38,24,0.950681725,0.517533302,0.902331059
38,24,0.950681725,0.515758276,0.902366559
38,14,0.944754762,0.289993048,0.900954901
38,20,0.947150036,0.433976412,0.900470508
25,23,0.909179771,0.508802891,0.874003713
38,14,0.944754762,0.302544117,0.90070388
38,24,0.950681725,0.536175013,0.901958225
38,20,0.947150036,0.480279207,0.899544452
38,20,0.947150036,0.495218277,0.899245671
38,20,0.947150036,0.415432453,0.900841387
38,19,0.945649431,0.398266792,0.899684095
38,19,0.945649431,0.427876234,0.899091906
18,19,0.786481105,0.417562962,0.760129845
40,24,0.950854245,0.528071404,0.900292817
