max_depth,n_learner,f1_score,elapsed_time,total_score
49,9,0.95288055,1.039358377,0.893486966
49,9,0.95288055,1.040438414,0.893476166
44,9,0.889129674,1.03034997,0.834826174
49,9,0.95288055,1.040506601,0.893475484
49,9,0.95288055,1.050478935,0.893375761
49,37,0.953143874,4.252043962,0.861623435
49,9,0.95288055,1.040376425,0.893476786
49,9,0.95288055,1.040572166,0.893474829
49,9,0.95288055,1.040503025,0.89347552
49,9,0.95288055,1.030504227,0.893575508
49,9,0.95288055,1.030359268,0.893576957
49,47,0.952460005,5.372679472,0.84973321
49,9,0.95288055,1.030460358,0.893575947
34,9,0.774286238,1.040405273,0.729882185
49,9,0.95288055,1.030804157,0.893572509
49,9,0.95288055,1.030325174,0.893577298
14,9,0.422902605,1.030506611,0.398597539
49,9,0.95288055,1.030564308,0.893574907
20,9,0.494049935,1.023595095,0.463813984
49,9,0.95288055,1.040896416,0.893471586
49,9,0.95288055,1.06064868,0.893274063
49,9,0.95288055,1.050357342,0.893376977
49,21,0.954581964,2.390923262,0.881672731
49,9,0.95288055,1.05057025,0.893374848
49,9,0.95288055,1.040489912,0.893475651
49,9,0.95288055,1.040207624,0.893478474
49,9,0.95288055,1.040554762,0.893475003
49,9,0.95288055,1.030545473,0.893575095
49,9,0.95288055,1.030403376,0.893576516
49,44,0.95203039,5.032344103,0.852706949
49,9,0.95288055,1.040645123,0.893474099
49,9,0.95288055,1.030828714,0.893572263
49,9,0.95288055,1.040728569,0.893473264
49,30,0.953657843,3.471550226,0.869942341
49,9,0.95288055,1.030349731,0.893577053
49,9,0.95288055,1.040480614,0.893475744
49,9,0.95288055,1.036552906,0.893515021
49,9,0.95288055,1.05035758,0.893376974
28,9,0.677584948,1.030472994,0.639280218
49,9,0.95288055,1.040542126,0.893475129
49,9,0.95288055,1.04078126,0.893472738
49,9,0.95288055,1.050234795,0.893378202
49,9,0.95288055,1.040255308,0.893477997
43,30,0.928231962,3.430786371,0.850924098
49,9,0.95288055,1.090829372,0.892972256
49,9,0.95288055,1.060311556,0.893277435
49,9,0.95288055,1.037466288,0.893505887
49,9,0.95288055,1.040493011,0.89347562
49,9,0.95288055,1.040561438,0.893474936
