max_depth,n_learner,f1_score,elapsed_time,total_score
2,43,0.945930465,0.529933453,0.906759814
2,43,0.945930465,0.489955425,0.906119885
2,43,0.945930465,0.489934683,0.904787881
2,43,0.945930465,0.479939699,0.911838578
2,43,0.945930465,0.509937525,0.900723274
2,43,0.945930465,0.469957829,0.908470083
2,43,0.945930465,0.489951611,0.906461219
2,43,0.945930465,0.469959974,0.906369668
2,43,0.945930465,0.469928026,0.907804709
2,43,0.945930465,0.499927282,0.909568437
48,43,0.954215977,0.529948711,0.865176457
61,50,0.955011049,0.589941025,0.853269107
2,43,0.945930465,0.489946604,0.910703282
2,43,0.945930465,0.479952335,0.908857156
2,13,0.805185311,0.179979086,0.722484608
2,50,0.950178322,0.559908152,0.909925446
2,50,0.950178322,0.579927683,0.9044533
2,50,0.950178322,0.539916992,0.90803763
85,12,0.913376913,0.189976692,0.743180165
2,43,0.945930465,0.469937325,0.90744195
2,50,0.950178322,0.549950361,0.908354064
2,43,0.945930465,0.529932976,0.906068902
2,50,0.950178322,0.589904308,0.904844269
2,43,0.945930465,0.479938507,0.907419629
2,43,0.945930465,0.479919672,0.903553121
2,43,0.945930465,0.469940901,0.907167997
2,43,0.945930465,0.47993803,0.906693442
2,39,0.943418985,0.429944754,0.919181279
2,43,0.945930465,0.469937325,0.905641191
2,50,0.950178322,0.539926767,0.906127329
2,43,0.945930465,0.479937792,0.907473578
95,32,0.952691405,0.429943562,0.839816963
2,43,0.945930465,0.469921112,0.901830636
2,3,0.375578264,0.069992065,0.242872851
2,50,0.950178322,0.549930811,0.903277062
2,43,0.945930465,0.499935389,0.901369232
2,50,0.950178322,0.569905043,0.899454589
2,43,0.945930465,0.489957571,0.905360098
2,43,0.945930465,0.469956875,0.907404138
2,43,0.945930465,0.469940662,0.914756171
2,43,0.945930465,0.479920864,0.904194919
2,43,0.945930465,0.479951143,0.905153218
2,43,0.945930465,0.46994257,0.908338884
2,43,0.945930465,0.469939947,0.906944315
2,43,0.945930465,0.479953289,0.910369352
2,43,0.945930465,0.509935617,0.904005663
2,43,0.945930465,0.499914169,0.905332042
2,43,0.945930465,0.479935408,0.905821827
2,43,0.945930465,0.48993659,0.909990743
2,4,0.498676363,0.069992304,0.370063645
2,43,0.945930465,0.509956121,0.904159536
2,43,0.945930465,0.469921112,0.905596611
66,43,0.954215977,0.539928913,0.85235229
2,43,0.945930465,0.469956636,0.909148852
