F1 Score,Recall,Precision,Accuracy,Average Error,MSE,RMSE,Elapsed Time
0.951234972,0.952690716,0.963006371,0.952690716,0.388191088,2.459592035,1.405615289,2.097950935
0.950816461,0.952493594,0.962497041,0.952493594,0.386148817,2.463527477,1.404108142,2.055727243
0.952335414,0.953873448,0.964091779,0.953873448,0.38003407,2.441298793,1.398656646,2.061879873
0.952911338,0.954661936,0.964331293,0.954661936,0.371293833,2.391298205,1.37980031,2.120836735
0.953165734,0.954661936,0.964610663,0.954661936,0.376436629,2.396134755,1.372668926,2.050190687
0.952765246,0.954267692,0.964194047,0.954267692,0.368921869,2.337357183,1.382761805,2.06766367
0.952332832,0.953873448,0.963657642,0.953873448,0.38393564,2.460022322,1.40737277,2.068776608
0.951576294,0.95308496,0.96311191,0.95308496,0.365895929,2.327954886,1.355278691,2.105336666
0.951158676,0.952690716,0.962750207,0.952690716,0.368748514,2.349986489,1.367548456,2.034576
0.951604916,0.95308496,0.963238944,0.95308496,0.365222361,2.323510441,1.352597434,2.142446756
0.952546372,0.95407057,0.9642463,0.95407057,0.374911941,2.366216113,1.385102094,2.066884279
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.025776625
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.056665659
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.016850233
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.053260803
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.03945303
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.088978052
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.079759359
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.070968628
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.049964428
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.093914032
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.066884279
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.030548716
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.035932779
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.049079895
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.068545103
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,1.971185923
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.183473825
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.052004576
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.038089752
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.022412539
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.125910044
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.179676771
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.007849216
